제목,링크,출처,날짜,설명
"Beyond 2024, nickel prices to increase steadily to 2028: Fitch",https://www.mining.com/beyond-2024-nickel-prices-to-increase-steadily-to-2028-fitch/,2024. 7. 5.,날짜 없음,"Long-term outlook. Beyond 2024, Fitch expects nickel prices to increase steadily to 2028, rising to $21,500/tonne as the market surplus narrows on the back of..."
Stainless steel prices rise in Southeast Asia – Stainless Espresso,https://steelnews.biz/stainless-steel-prices-rise-in-southeast-asia/,2024. 7. 8.,날짜 없음,A major Southeast Asian stainless steel manufacturer has announced price increases. And the LME suspends two nickel brands of a Finnish producer.
"Recycler competition pushes up Korean black mass payables, SEA lags on weak lithium",https://www.fastmarkets.com/insights/recycler-competition-pushes-up-korean-black-mass-payables-sea-lags-on-weak-lithium/,2024. 7. 5.,날짜 없음,Find out how payables for nickel cobalt manganese (NCM) black mass in the CIF Asia markets showed mixed trends in June.
Ampere leads a groundbreaking battery strategy for Renault Group with LFP technology and Cell-to-Pack solutions,https://media.renaultgroup.com/?p=237993,2024. 7. 1.,날짜 없음,Ampere will reduce by around 20% the cost of batteries in its vehicles from beginning of 2026. This plan is in line with Ampere roadmap to reduce costs and...
Nickel price to see steady rise on EV demand — after a flat 2024: Fitch,https://northernminer.com/news/nickel-price-to-see-steady-rise-on-ev-demand-after-a-flat-2024-fitch/1003869297/,2024. 7. 8.,날짜 없음,"Beyond 2024, Fitch expects nickel prices to increase steadily to 2028, rising to US$21,500 per tonne as the market surplus narrows on the back of surging demand..."
Australian government report identifies early signs of hope for nickel and lithium sectors,https://smallcaps.com.au/australian-government-report-early-signs-hope-nickel-lithium-sectors/,2024. 7. 4.,날짜 없음,The latest REQ found that the prices of lithium and nickel appear to have started a recovery after hitting multi-year lows in the first half of 2024.
"Fitch Analysts Believe the Price of Nickel Will Rise to $21,500 in 2028",https://nai500.com/blog/2024/07/fitch-analysts-believe-the-price-of-nickel-will-rise-to-21500-in-2028/,2024. 7. 5.,날짜 없음,"Looking ahead, BMI expects the nickel price to rise steadily until 2028, rising to $21,500 as the supply surplus narrows against the backdrop of surging demand..."
Study confirms Jaguar’s nickel sulphide production potential,https://www.miningweekly.com/article/study-confirms-jaguars-nickel-sulphide-production-potential-2024-07-02,2024. 7. 2.,날짜 없음,"Australia-listed Centaurus Metals has announced the results of a feasibility study for the Jaguar nickel sulphide project in northern Brazil,..."
Indonesia gets ‘wake-up call’ to step up sustainability in nickel industry,https://www.scmp.com/week-asia/health-environment/article/3269420/indonesia-gets-wake-call-step-sustainability-efforts-nickel-industry,2024. 7. 6.,날짜 없음,Indonesia's government acknowledged on Friday the need to address sustainability in its nickel industry after German chemical giant BASF and French miner...
Hyundai and LG open first EV battery cell plant in Indonesia to power up affordable EVs,https://electrek.co/2024/07/03/hyundai-opens-first-battery-cell-plant-indonesia-low-cost-evs/,2024. 7. 3.,날짜 없음,Hyundai opened the first EV battery cell plant in Indonesia with LG Energy Solution as it builds out its global supply chain. The plant will supply cells...
