제목,링크,출처,날짜,설명
Base metals price mixed forecast on China stimulus pressure,https://www.fastmarkets.com/insights/base-metals-price-forecast-china-stimulus/,2023. 8. 2.,날짜 없음,"Despite concerns over the uncertainty of China's economic recovery, base metals price forecasts remain mixed for aluminium, copper, lead, nickel, tin and zinc..."
Could nickel reserves be the key to independence for New Caledonia?,https://www.rfi.fr/en/france/20230805-nickel-new-caledonia-independence-france,2023. 8. 5.,날짜 없음,"The South Pacific French territory of New Caledonia is a major producer of nickel, a metal that is increasingly in demand around the world to make electric..."
Dynamics of green metal price volatility in times of geopolitical tensions: Effects of oil price shocks and carbon emissions futures,https://www.sciencedirect.com/science/article/abs/pii/S095965262301541X,2023. 8. 1.,날짜 없음,"This study analyses the effect of geopolitical tensions, oil prices, and carbon emission futures on green metal prices using the SVAR model."
News Content Hub - High-manganese steel aims to lower LNG cargo and fuel tank costs,https://www.rivieramm.com/news-content-hub/news-content-hub/high-manganese-steel-aims-to-lower-lng-cargo-and-fuel-tank-costs-77185,2023. 8. 8.,날짜 없음,Hanwha Ocean R&D Institute head details the drive behind the successful development and commercialisation of high-manganese steel Type B and Type C LNG tanks.
Report: French nickel sector in danger of collapse,https://www.mining-technology.com/news/france-nickel-sector-danger-of-collapse/,2023. 8. 3.,날짜 없음,"France's nickel production is at risk of collapse and must be refinanced and restructured, according to a new government report."
Carbon Nanofiber Growth Rates on NiCu Catalysts: Quantitative Coupling of Macroscopic and Nanoscale In Situ Studies,https://pubs.acs.org/doi/10.1021/acs.jpcc.3c02657,2023. 8. 4.,날짜 없음,"Since recently, gas-cell transmission electron microscopy allows for direct, nanoscale imaging of catalysts during reaction. However, often systems are too..."
Economist Says 90% of Downstream Nickel Profits Flow to China,https://en.tempo.co/read/1757491/economist-says-90-of-downstream-nickel-profits-flow-to-china,2023. 8. 8.,날짜 없음,"Senior Economist from the University of Indonesia Faisal Basri again criticized President Joko Widodo or Jokowi's downstream mining policy, especially nickel."
Nickel Industries completes Shanghai Decent deal,https://www.miningweekly.com/article/nickel-industries-completes-shanghai-decent-deal-2023-08-04,2023. 8. 4.,날짜 없음,ASX-listed Nickel Industries has completed the acquisition of a 10% interest in the Huayue nickel/cobalt (HNC) project and an additional 10% interest in the...
"""Battery Passport"" Imminent: Opportunity or Challenge?",https://news.metal.com/newscontent/102313174/%22Battery-Passport%22-Imminent:-Opportunity-or-Challenge,2023. 8. 1.,날짜 없음,"Abstract On 10 July 2023, the European Council passed a new regulation intended to bolster the management of batteries and waste batteries (""Batteries..."
Moto Money / Nickel and Dimed: North American Motorcyclists Are Getting Ripped Off,https://www.advrider.com/nickel-and-dimed-north-american-motorcyclists-are-getting-ripped-off/,2023. 8. 8.,날짜 없음,Ever-increasing fees from the industry and government are going to leave riders ripped off and leaving two wheels.
Explained: What Tesla’s New Home In Malaysia Means For Nickel-Rich Indonesia,https://swarajyamag.com/commentary/explained-what-teslas-new-home-in-malaysia-means-for-nickel-rich-indonesia,2023. 8. 8.,날짜 없음,"Despite Tesla's snub, Indonesia has a decent success in tapping its nickel reserves to make itself indispensable for the EV industry, which uses the metal..."
The new commodity superpowers,https://www.ft.com/content/0d2fba79-940f-4a28-8f4f-68f1e755200f,2023. 8. 7.,날짜 없음,"In the first part of a series, countries that produce the metals central to the energy transition want to rewrite the rules of mineral extraction."
