제목,링크,출처,날짜,설명
Rebound in metal prices? All eyes on China and trade,https://blogs.worldbank.org/en/developmenttalk/rebound-metal-prices-all-eyes-china-and-trade,2018. 12. 5.,날짜 없음,"This blog is the eighth in a series of ten blogs on commodity market developments, elaborating on themes discussed in the latest edition of the World Bank's..."
Here are the ECB’s measures of underlying inflation for the euro area,https://www.weforum.org/stories/2018/12/the-ecb-s-measures-of-underlying-inflation-for-the-euro-area/,2018. 12. 7.,날짜 없음,"Just like other central banks, the ECB generally monitors a range of measures of underlying inflation to help distinguish noise from signal in headline..."
Lithium-ion vs. nickel-metal hydride: Toyota still likes both for its hybrids,https://www.greencarreports.com/news/1120320_lithium-ion-vs-nickel-metal-hydride-toyota-still-likes-both-for-its-hybrids,2018. 12. 6.,날짜 없음,Toyota continues to stay the course with nickel-metal hydride battery cells for many of its hybrid vehicles.
Nickel West gets nod for Venus mine start,https://www.kalminer.com.au/business/mining/nickel-west-gets-nod-for-venus-mine-start-ng-b881040835z,2018. 12. 4.,날짜 없음,The State Government signed off on its Venus underground nickel mine near Leinster. The multimillion-dollar development is expected to create 150 jobs.
Panoramic completes sale of Lanfranchi in WA,https://www.australianmining.com.au/panoramic-completes-sale-of-lanfranchi-nickel-project-in-wa/,2018. 12. 7.,날짜 없음,Panoramic Resources has offloaded its Lanfranchi nickel project in Western Australia to a subsidiary of Texas-based Black Mountain Metals for $15.1 million.
"Copper Mercury, Buffalo & Walking Liberty Rounds Now Available",https://www.usgoldbureau.com/news/post/investment-copper-rounds,2018. 12. 4.,날짜 없음,"The US Gold Bureau is excited to announce our new slate of one-ounce copper rounds – the Copper Mercury Round, Copper Buffalo Round and Copper Walking Liberty..."
Aqua Computer intros kryographics NEXT series for RTX 2080 / Ti,https://www.guru3d.com/story/aqua-computer-intros-kryographics-next-series-for-rtx-2080-ti/,2018. 12. 10.,날짜 없음,Aqua Computer is proud to present the kryographics NEXT 2080 / Ti. All components are CNC machined in Aqua Computers own production facility in Germany and...
Diversity Fuels the Farm,https://www.agriculture.com/farm-management/business-planning/diversity-fuels-the-farm,2018. 12. 6.,날짜 없음,"When Mitch and Dawn Lazenby took over their family's cotton farm in 1990, the price of cotton was poor. In their community near Auburn, Alabama,..."
NCAA FOOTBALL: Woodforest Bank Stadium on display for Stagg Bowl,https://www.yourconroenews.com/neighborhood/moco/sports/article/NCAA-FOOTBALL-Woodforest-Bank-Stadium-on-display-13445580.php,2018. 12. 5.,날짜 없음,Woodforest Bank Stadium has hosted countless sporting events since it opened its gates in...
Toyota Corolla Hybrid likely to come to India,https://www.carwale.com/news/toyota-corolla-hybrid-likely-to-come-to-india/,2018. 12. 3.,날짜 없음,Powered by 1.8-litre Atkinson-cycle four-cylinder engine and two-electric motors that generate 120bhp of power.
Greece seeks to avert nickel producer Larco shutdown,https://www.mining.com/web/greece-seeks-avert-nickel-producer-larco-shutdown/,2018. 12. 12.,날짜 없음,Greece is trying to avert the possible closure of Europe's biggest nickel producer Larco and is looking at ways to ensure there are no interruptions to its...
AAA Fuel Prices,https://gasprices.aaa.com/cheapest-december-national-gas-price-average-in-two-years/,2018. 12. 17.,날짜 없음,"At $2.37, the national gas price average continues to drive toward the cheapest pump prices seen during the month of December since 2016."
Mincor just scored ‘best-ever’ nickel grades at Cassini prospect,https://stockhead.com.au/resources/mincor-just-scored-best-ever-nickel-grades-at-cassini-prospect/,2018. 12. 17.,날짜 없음,"Mincor has hit best-ever grades at the “Cassini” nickel prospect near Kambalda as evidence of a large, high grade nickel sulphide system just keeps piling..."
